"Time","TempC"
"2009-01-01 00:50:00",-8.304
"2009-01-01 02:50:00",-8.76333333333333
"2009-01-01 03:50:00",-8.89666666666667
"2009-01-01 04:50:00",-9.34833333333333
"2009-01-01 05:50:00",-9.71666666666667
"2009-01-01 06:50:00",-9.29833333333333
"2009-01-01 07:50:00",-8.54333333333333
"2009-01-01 08:50:00",-7.92666666666667
"2009-01-01 09:50:00",-7.39833333333333
"2009-01-01 10:50:00",-7.195
"2009-01-01 11:50:00",-7.27833333333333
"2009-01-01 12:50:00",-6.61166666666667
"2009-01-01 13:50:00",-5.87166666666667
"2009-01-01 14:50:00",-5.79666666666667
"2009-01-01 15:50:00",-5.48333333333333
"2009-01-01 16:50:00",-5.32166666666667
"2009-01-01 17:50:00",-5.29
"2009-01-01 18:50:00",-5.11666666666667
"2009-01-01 19:50:00",-4.955
"2009-01-01 20:50:00",-4.925
"2009-01-01 21:50:00",-4.795
"2009-01-01 22:50:00",-4.35
"2009-01-01 23:50:00",-4.45333333333333
"2009-01-02 00:50:00",-4.575
"2009-01-02 01:50:00",-4.36666666666667
"2009-01-02 02:50:00",-4.305
"2009-01-02 03:50:00",-4.43333333333333
"2009-01-02 04:50:00",-4.735
"2009-01-02 05:50:00",-4.77
"2009-01-02 06:50:00",-4.3
"2009-01-02 07:50:00",-4.35666666666667
"2009-01-02 08:50:00",-4.28666666666667
"2009-01-02 09:50:00",-3.97833333333333
"2009-01-02 10:50:00",-3.89
"2009-01-02 11:50:00",-3.31166666666667
"2009-01-02 12:50:00",-2.89
"2009-01-02 13:50:00",-2.40666666666667
"2009-01-02 14:50:00",-2.37666666666667
"2009-01-02 15:50:00",-2.42
"2009-01-02 16:50:00",-2.81833333333333
"2009-01-02 17:50:00",-2.975
"2009-01-02 18:50:00",-3.20833333333333
"2009-01-02 19:50:00",-3.34833333333333
"2009-01-02 20:50:00",-3.34833333333333
"2009-01-02 21:50:00",-3.65166666666667
"2009-01-02 22:50:00",-4.21166666666667
"2009-01-02 23:50:00",-4.51333333333333
"2009-01-03 00:50:00",-5.20166666666667
"2009-01-03 01:50:00",-5.66666666666667
"2009-01-03 02:50:00",-6.28333333333333
"2009-01-03 03:50:00",-6.35833333333333
"2009-01-03 04:50:00",-6.34333333333333
"2009-01-03 05:50:00",-7.47666666666667
"2009-01-03 06:50:00",-8.03666666666667
"2009-01-03 07:50:00",-8.72666666666667
"2009-01-03 08:50:00",-9.58333333333333
"2009-01-03 09:50:00",-9.33333333333333
"2009-01-03 10:50:00",-8.44
"2009-01-03 11:50:00",-7.075
"2009-01-03 12:50:00",-4.71166666666667
"2009-01-03 13:50:00",-2.10333333333333
"2009-01-03 14:50:00",-1.87666666666667
"2009-01-03 15:50:00",-1.82333333333333
"2009-01-03 16:50:00",-3.91166666666667
"2009-01-03 17:50:00",-4.42833333333333
"2009-01-03 18:50:00",-3.94
"2009-01-03 19:50:00",-3.82666666666667
"2009-01-03 20:50:00",-3.545
"2009-01-03 21:50:00",-2.90833333333333
"2009-01-03 22:50:00",-2.695
"2009-01-03 23:50:00",-2.22666666666667
"2009-01-04 00:50:00",-1.67333333333333
"2009-01-04 01:50:00",-1.98833333333333
"2009-01-04 02:50:00",-2.23333333333333
"2009-01-04 03:50:00",-1.98166666666667
"2009-01-04 04:50:00",-1.745
"2009-01-04 05:50:00",-1.49666666666667
"2009-01-04 06:50:00",-1.33166666666667
"2009-01-04 07:50:00",-0.945
"2009-01-04 08:50:00",-0.77
"2009-01-04 09:50:00",-1.14666666666667
"2009-01-04 10:50:00",-1.20166666666667
"2009-01-04 11:50:00",-1.12666666666667
"2009-01-04 12:50:00",-1.00666666666667
"2009-01-04 13:50:00",-0.978333333333333
"2009-01-04 14:50:00",-0.836666666666667
"2009-01-04 15:50:00",-0.816666666666667
"2009-01-04 16:50:00",-1.255
"2009-01-04 17:50:00",-1.445
"2009-01-04 18:50:00",-1.54
"2009-01-04 19:50:00",-1.6
"2009-01-04 20:50:00",-1.50833333333333
"2009-01-04 21:50:00",-1.48333333333333
"2009-01-04 22:50:00",-1.445
"2009-01-04 23:50:00",-1.45
"2009-01-05 00:50:00",-1.53
"2009-01-05 01:50:00",-1.58666666666667
"2009-01-05 02:50:00",-1.51833333333333
"2009-01-05 03:50:00",-1.59166666666667
"2009-01-05 04:50:00",-1.78
"2009-01-05 05:50:00",-1.76333333333333
"2009-01-05 06:50:00",-1.76333333333333
"2009-01-05 07:50:00",-2.29666666666667
"2009-01-05 08:50:00",-2.87333333333333
"2009-01-05 09:50:00",-3.165
"2009-01-05 10:50:00",-3.33333333333333
"2009-01-05 11:50:00",-3.59333333333333
"2009-01-05 12:50:00",-3.93833333333333
"2009-01-05 13:50:00",-4.33833333333333
"2009-01-05 14:50:00",-4.81
"2009-01-05 15:50:00",-5.405
"2009-01-05 16:50:00",-5.96833333333333
"2009-01-05 17:50:00",-6.62666666666667
"2009-01-05 18:50:00",-7.42166666666667
"2009-01-05 19:50:00",-8.295
"2009-01-05 20:50:00",-9.62166666666667
"2009-01-05 21:50:00",-10.385
"2009-01-05 22:50:00",-11.0216666666667
"2009-01-05 23:50:00",-12.185
"2009-01-06 00:50:00",-12.9633333333333
"2009-01-06 01:50:00",-13.4766666666667
"2009-01-06 02:50:00",-13.7616666666667
"2009-01-06 03:50:00",-14.115
"2009-01-06 04:50:00",-14.5633333333333
"2009-01-06 05:50:00",-15.2233333333333
"2009-01-06 06:50:00",-16.05
"2009-01-06 07:50:00",-16.9266666666667
"2009-01-06 08:50:00",-16.195
"2009-01-06 09:50:00",-15.4466666666667
"2009-01-06 10:50:00",-15.1166666666667
"2009-01-06 11:50:00",-14.7183333333333
"2009-01-06 12:50:00",-13.7033333333333
"2009-01-06 13:50:00",-11.1316666666667
"2009-01-06 14:50:00",-12.2033333333333
"2009-01-06 15:50:00",-12.9366666666667
"2009-01-06 16:50:00",-14.4016666666667
"2009-01-06 17:50:00",-15.77
"2009-01-06 18:50:00",-16.735
"2009-01-06 19:50:00",-17.6916666666667
"2009-01-06 20:50:00",-18.27
"2009-01-06 21:50:00",-19.0683333333333
"2009-01-06 22:50:00",-20.33
"2009-01-06 23:50:00",-20.79
"2009-01-07 00:50:00",-20.88
"2009-01-07 01:50:00",-21.495
"2009-01-07 02:50:00",-21.4616666666667
"2009-01-07 03:50:00",-22.6533333333333
"2009-01-07 04:50:00",-22.2233333333333
"2009-01-07 05:50:00",-22.2833333333333
"2009-01-07 06:50:00",-22.1383333333333
"2009-01-07 07:50:00",-22.1566666666667
"2009-01-07 08:50:00",-21.7466666666667
"2009-01-07 09:50:00",-21.5083333333333
"2009-01-07 10:50:00",-19.1683333333333
"2009-01-07 11:50:00",-17.9066666666667
"2009-01-07 12:50:00",-15.5266666666667
"2009-01-07 13:50:00",-12.9566666666667
"2009-01-07 14:50:00",-11.7766666666667
"2009-01-07 15:50:00",-10.1816666666667
"2009-01-07 16:50:00",-9.2
